_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
642d8c976ea27ff0b9c45b0c||17.92|77.42|35.84|42.66|29,6,1,0|quote|5444|0|0|19.42|3|0|false|false|english|none|normal|false|false|false||1680706711000
6415b48efe979dd89a758511||48.31|91.36|48.31|52.64|74,0,0,0|quote|5231|0|0|18.38|0|0|false|false|english|none|normal|false|false|false||1679144078000
6415b477fe979dd89a75846f||41.9|88.89|45.66|55.41|89,2,0,0|quote|5826|0|0|25.49|0|0|false|false|english|none|normal|false|false|false||1679144055000
6415b458fe979dd89a758386||48.62|92.59|48.62|56.92|50,0,0,0|quote|5212|0|0|12.34|0|0|false|false|english|none|normal|false|false|false||1679144024000
6415b43cfe979dd89a7582b2||31.98|84.62|33.75|51.53|72,3,0,1|quote|5796|0|0|27.02|1|0|false|false|english|none|normal|false|false|false||1679143996000
6408a20486f614273339bb89||34.35|85.92|34.35|52.85|57,0,0,0|quote|5444|0|0|19.91|0|0|false|false|english|none|normal|false|false|false||1678287364000
6408a1e986f614273339ba1a||34.2|83.67|37.75|63.79|77,1,1,1|quote|2946|0|0|27.02|0|0|false|false|english|none|normal|false|false|false||1678287337000
6408a1c486f614273339b82f||42.8|88.71|42.8|64.82|54,0,0,0|quote|999|0|0|15.14|0|0|false|false|english|none|normal|false|false|false||1678287300000
6408a1ae86f614273339b712||35.91|90.79|42.49|56.17|60,3,0,0|quote|5848|0|0|20.05|0|0|false|false|english|none|normal|false|false|false||1678287278000
6404ae6f5027fd0b051de51f||32.97|84.44|37.68|44.89|35,3,0,1|quote|5024|0|0|12.74|0|0|false|false|english|none|normal|false|false|false||1678028399000
6404ae5b5027fd0b051b0a45||41.52|87.88|47.11|59.03|52,2,0,0|quote|11|0|0|15.03|0|0|false|false|english|none|normal|false|false|false||1678028379000
6404ae425027fd0b051b0969||32.73|82.93|34.71|58.21|66,1,0,0|quote|3554|0|0|24.2|0|0|false|false|english|none|normal|false|false|false||1678028354000
6404ae1d5027fd0b051b083b||33.5|86.52|43.22|56.06|62,3,0,1|quote|5039|0|0|22.21|0|0|false|false|english|none|normal|false|false|false||1678028317000
6404ae015027fd0b051b0753||39.17|89.02|39.17|57.61|71,0,0,0|quote|6657|0|0|21.75|0|0|false|false|english|none|normal|false|false|false||1678028289000
6404ade35027fd0b051b0645||39.68|90.53|41.59|47.59|83,1,0,1|quote|1531|0|0|25.1|0|0|false|false|english|none|normal|false|false|false||1678028259000
6404adc05027fd0b051b050d||35.1|82.42|35.1|61.27|73,0,0,0|quote|5775|0|0|24.96|0|0|false|false|english|none|normal|false|false|false||1678028224000
6404ad685027fd0b051b021f||44.28|89.91|44.28|56.62|97,0,0,0|quote|5826|0|0|26.29|0|0|false|false|english|none|normal|false|false|false||1678028136000
6404ad195027fd0b051aff9f||36.33|84.51|39.51|46.31|57,1,0,0|quote|6126|0|0|18.83|0|0|false|false|english|none|normal|false|false|false||1678028057000
